Brand,Product_Type,Price_INR,Rating,Number_of_Reviews,Skin_Type,Age_Group,Key_Ingredient,Additional_Ingredient,Primary_Concern,Purchase_Date
Kiehl's,Face Mask,828.07,3.5,22,Normal,56+,Alpha Arbutin,Titanium Dioxide,Anti-aging,2023-12-17
Rare Beauty,Eye Cream,1654.95,5.0,165,Dry,46-55,Zinc Oxide,Ceramides,Dullness,2024-10-06
Clinique,Facial Oil,2413.55,5.0,384,Sensitive,18-25,Azelaic Acid,Benzoyl Peroxide,Oiliness,2023-12-18
Youth to the People,Cleanser,817.41,4.5,9,Combination,26-35,Kojic Acid,Retinol,Dryness,2024-04-09
Clinique,Eye Cream,3658.39,5.0,76,Acne-prone,46-55,Glycolic Acid,Bakuchiol,Anti-aging,2023-10-13
Origins,Moisturizer,1028.64,3.7,80,Dry,18-25,Bakuchiol,Zinc Oxide,Dullness,2024-02-06
Estee Lauder,Eye Cream,2655.0,5.0,23,Dry,56+,Azelaic Acid,Retinol,Uneven texture,2024-09-16
The Ordinary,Facial Oil,2603.02,5.0,4,Dry,36-45,Benzoyl Peroxide,Bakuchiol,Anti-aging,2025-04-16
Aveeno,Serum,2313.85,4.7,54,Sensitive,46-55,Benzoyl Peroxide,Ceramides,Sensitivity,2023-11-07
Kiehl's,Face Mask,1039.92,2.1,40,Sensitive,26-35,Tea Tree Oil,Titanium Dioxide,Oiliness,2023-10-28
Drunk Elephant,Toner,979.59,3.6,95,Combination,46-55,Peptides,Titanium Dioxide,Anti-aging,2025-09-17
Fresh,Face Mask,1056.11,4.3,19,Normal,26-35,Benzoyl Peroxide,Bakuchiol,Oiliness,2025-08-21
Origins,Toner,920.21,3.7,126,Dry,46-55,Zinc Oxide,Azelaic Acid,Sensitivity,2024-07-05
Estee Lauder,Exfoliant,1374.25,4.4,35,Acne-prone,46-55,Glycolic Acid,Lactic Acid,Uneven texture,2024-04-04
Drunk Elephant,Face Mask,1481.9,4.3,32,Dry,18-25,Bakuchiol,Jojoba Oil,Pores,2024-01-13
Skinceuticals,Serum,3029.35,4.3,2,Normal,56+,Kojic Acid,Jojoba Oil,Dullness,2024-11-19
Rare Beauty,Toner,736.25,4.2,21,Combination,56+,Titanium Dioxide,Lactic Acid,Dullness,2023-11-18
