Brand,Product_Type,Price_INR,Rating,Number_of_Reviews,Skin_Type,Age_Group,Key_Ingredient,Additional_Ingredient,Primary_Concern,
Kiehl's,Face Mask,828.07,3.5,22,Normal,56+,Alpha Arbutin,Titanium Dioxide,Anti-aging,
Rare Beauty,Eye Cream,1654.95,5,165,Dry,46-55,Zinc Oxide,Ceramides,Dullness,
Clinique,Facial Oil,2413.55,5,384,Sensitive,18-25,Azelaic Acid,Benzoyl Peroxide,Oiliness,
Youth to the People,Cleanser,817.41,4.5,9,Combination,26-35,Kojic Acid,Retinol,Dryness,
Clinique,Eye Cream,3658.39,5,76,Acne-prone,46-55,Glycolic Acid,Bakuchiol,Anti-aging,
Origins,Moisturizer,1028.64,3.7,80,Dry,18-25,Bakuchiol,Zinc Oxide,Dullness,
Estee Lauder,Eye Cream,2655,5,23,Dry,56+,Azelaic Acid,Retinol,Uneven texture,
The Ordinary,Facial Oil,2603.02,5,4,Dry,36-45,Benzoyl Peroxide,Bakuchiol,Anti-aging,
Aveeno,Serum,2313.85,4.7,54,Sensitive,46-55,Benzoyl Peroxide,Ceramides,Sensitivity,
Kiehl's,Face Mask,1039.92,2.1,40,Sensitive,26-35,Tea Tree Oil,Titanium Dioxide,Oiliness,
Drunk Elephant,Toner,979.59,3.6,95,Combination,46-55,Peptides,Titanium Dioxide,Anti-aging,
Fresh,Face Mask,1056.11,4.3,19,Normal,26-35,Benzoyl Peroxide,Bakuchiol,Oiliness,
Origins,Toner,920.21,3.7,126,Dry,46-55,Zinc Oxide,Azelaic Acid,Sensitivity,
Estee Lauder,Exfoliant,1374.25,4.4,35,Acne-prone,46-55,Glycolic Acid,Lactic Acid,Uneven texture,
Drunk Elephant,Face Mask,1481.9,4.3,32,Dry,18-25,Bakuchiol,Jojoba Oil,Pores,
Skinceuticals,Serum,3029.35,4.3,2,Normal,56+,Kojic Acid,Jojoba Oil,Dullness,
Rare Beauty,Toner,736.25,4.2,21,Combination,56+,Titanium Dioxide,Lactic Acid,Dullness,
Fenty Beauty,Facial Oil,1537.03,3.7,149,Combination,26-35,Alpha Arbutin,Azelaic Acid,Hyperpigmentation,
Fresh,Face Mask,695.99,3.2,26,Sensitive,56+,Zinc Oxide,Glycolic Acid,Dullness,
Tatcha,Serum,4268.35,5,57,Acne-prone,18-25,Vitamin C,Tea Tree Oil,Redness,
Youth to the People,Toner,1117.49,3.3,73,Sensitive,18-25,Salicylic Acid,Retinol,Acne,
La Roche-Posay,Night Cream,1905.9,4.6,102,Dry,26-35,Retinol,Kojic Acid,Anti-aging,
Tatcha,Serum,2400.2,4.2,77,Acne-prone,36-45,Squalane,Glycolic Acid,Dullness,
Youth to the People,Moisturizer,1821.32,4.2,10,Dry,36-45,Bakuchiol,Zinc Oxide,Uneven texture,
Drunk Elephant,Facial Oil,3080.46,5,168,Dry,46-55,Glycolic Acid,Niacinamide,Dullness,
Glossier,Cleanser,667.94,3.2,91,Dry,46-55,Vitamin C,Ceramides,Sensitivity,
Paula's Choice,Exfoliant,1752.69,3.7,65,Combination,56+,Salicylic Acid,Hyaluronic Acid,Oiliness,
Skinceuticals,Moisturizer,2235.04,4.6,6,Sensitive,36-45,Benzoyl Peroxide,Retinol,Redness,
Drunk Elephant,Night Cream,2597.47,5,249,Normal,26-35,Zinc Oxide,Kojic Acid,Hyperpigmentation,
Glossier,Face Mask,1074.48,4.5,10,Sensitive,18-25,Jojoba Oil,Niacinamide,Redness,
CeraVe,Sunscreen,760.44,3.2,3,Normal,46-55,Hyaluronic Acid,Vitamin C,Fine lines,
Olay,Serum,2155.28,4.7,37,Normal,26-35,Vitamin C,Zinc Oxide,Dryness,
Fenty Beauty,Eye Cream,1672.63,5,199,Sensitive,26-35,Glycolic Acid,Salicylic Acid,Hyperpigmentation,
Paula's Choice,Serum,2266.59,5,111,Dry,56+,Vitamin C,Alpha Arbutin,Dryness,
Origins,Face Mask,766.09,3.9,16,Dry,18-25,Benzoyl Peroxide,Bakuchiol,Dullness,
CeraVe,Cleanser,826.3,3.9,82,Normal,56+,Alpha Arbutin,Hyaluronic Acid,Oiliness,
Estee Lauder,Exfoliant,1609.69,3,37,Dry,46-55,Bakuchiol,Alpha Arbutin,Acne,
